Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2025 to 12-31-2025,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Item,Heat Miser,332,2,0,12.01,0,3986,12,0,3974,3974,3974,Liquor,
Item,Mimosa,102,0,0,9.09,0,927,38,0,889,889,889,Liquor,
Item,Prosecco,523,1,0,9,0,4707,126,0,4581,4581,4581,Wine,
Item,Fireball,43,0,0,6,0,258,0,0,258,258,258,Liquor,
Item,Mocktail,1072,8,1,8.63,0,9257,140,0,9117,9117,9117,Liquor,
Item,Noloma,135,1,0,7,0,945,7,0,938,938,938,Liquor,
Item,Knappogue Irish  14 yr,10,0,0,15.3,0,153,0,0,153,153,153,Liquor,
Item,Nolets Martini,1,1,0,18,0,18,0,0,18,18,18,Liquor,
Item,"CH Tin, Scallop Caleirada",13,0,0,15,0,205.8,15,10.8,180,180,190.8,Food,
Item,D/ BOAL Lager,26,0,0,8,0,208,0,0,208,208,208,Draft Beer,
Item,CH French Fries,19,0,0,8,0,161.12,0,9.12,152,152,161.12,Food,
Item,Creme de Cacao,6,0,0,4.5,0,27,0,0,27,27,27,Liquor,
Item,CH Mushroom Soup,11,0,0,9,0,103.59,22.5,4.59,76.5,76.5,81.09,Food,
Item,CH Kartoffelsuppe,20,1,2,11,0,253.22,55,11.22,187,187,198.22,Food,
Item,CH Sourdough Grilled Cheese,56,1,0,14,0,824.32,112,40.32,672,672,712.32,Food,
Item,CH Pumpkin Pie,8,1,1,8,0,75.12,20,3.12,52,52,55.12,Food,
Item,Lucca Libre,1,0,0,15,0,15,0,0,15,15,15,Liquor,
Item,Pisco Sour,8,0,0,13,0,104,0,0,104,104,104,Liquor,
Item,D/ New Trail Lager,1311,4,4,6.26,0,8228,135,0,8093,8093,8093,Draft Beer,
Item,CH Whipped  Goat Cheese,7,1,0,9,0,66.24,9,3.24,54,54,57.24,Food,
Item,"CH Tin, Trout Smoked Juniper",20,1,0,18,0,381.6,0,21.6,360,360,381.6,Food,
Item,"CH Tin, Trout Onion Relish",1,0,0,21,0,22.26,0,1.26,21,21,22.26,Food,
Item,Macallans 12,17,0,0,22.94,0,390,0,0,390,390,390,Liquor,
Item,CH Chowder,22,0,0,7,0,161.98,21,7.98,133,133,140.98,Food,
Item,Lindeman Fram,55,1,0,12,0,660,12,0,648,648,648,Bottle Beer,
Item,Vienna Woods,1,0,0,13,0,13,13,0,0,0,0,Liquor,
Item,D/ Sauv Blanc,539,7,1,9,0,4860,117,0,4743,4743,4743,Wine,
Item,Fundraiser Danish,11,1,0,5,0,0,0,0,0,0,55,ROA/DEPOSITS,
Item,Frangelico,7,0,0,8.71,0,61,0,0,61,61,61,Liquor,
Item,CH Flatbread,14,1,0,18,0,263.34,63,11.34,189,189,200.34,Food,
Item,CH Allen St. Roll,32,0,1,23,0,796.26,138,37.26,621,621,658.26,Food,
Item,CH C.N.S.,18,0,1,5,0,99.8,15,4.8,80,80,84.8,Food,
Item,CH Lamb Lengua,12,0,1,20,0,273.8,30,13.8,230,230,243.8,Food,
Item,"CH Tin, Grilled Albacore",10,0,0,30,0,318,0,18,300,300,318,Food,
Item,Jagermule,5,0,0,10,0,50,0,0,50,50,50,Liquor,
Item,Irish Rose,33,1,0,15,0,495,15,0,480,480,480,Liquor,
Item,"CH Tin, Cod",6,0,0,18,0,113.4,18,5.4,90,90,95.4,Food,
Item,Cocchi Torino,12,0,0,7,0,84,0,0,84,84,84,Liquor,
Item,Duvel,108,0,0,10,0,1080,0,0,1080,1080,1080,Bottle Beer,
Item,D/ BOAL Pilsner,521,2,0,8,0,4168,128,0,4040,4040,4040,Draft Beer,
Item,D/ Hacker Pschorr,219,2,0,8,0,1752,24,0,1728,1728,1728,Draft Beer,
