Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2024 to 12-31-2024,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Item,Naked & Afraid,159,1,0,15,0,2385,75,0,2310,2310,2310,Liquor,
Item,Heaven Hill,1,0,0,12,0,12,0,0,12,12,12,Liquor,
Item,CH Lobster Mac,188,0,17,15.6,0,3353.56,623,154.56,2576,2576,2730.56,Food,
Item,Plantation 3Star,13,0,0,10.38,0,135,0,0,135,135,135,Liquor,
Item,CH Butterscotch Mousse,17,0,1,10,0,189.6,20,9.6,160,160,169.6,Food,
Item,Brooklyn,3,1,0,14.67,0,44,0,0,44,44,44,Liquor,
Item,Berentzen Apple Liquor,1,0,0,6,0,6,0,0,6,6,6,Liquor,
Item,Derrumbes Zacatecas,9,0,0,16,0,144,0,0,144,144,144,Liquor,
Item,Sotol La Higuera,11,0,0,10.55,0,116,0,0,116,116,116,Liquor,
Item,CH Pretzel,60,0,4,10.75,0,724.57,78.5,36.57,609.5,609.5,646.07,Food,
Item,CH Pita,280,0,20,12.22,0,3850.32,580,184.32,3086,3086,3270.32,Food,
Item,Cold Brew Cup,23,0,0,5,0,121.6,5,6.6,110,110,116.6,Beverage,
Item,Flor del Desierto,2,0,0,23,0,46,0,0,46,46,46,Liquor,
Item,Sambuca,20,0,0,7,0,140,7,0,133,133,133,Liquor,
Item,Sagamore Rye,47,0,0,14.15,0,665,70,0,595,595,595,Liquor,
Item,Sex on Beach,92,0,0,9.78,0,900,40,0,860,860,860,Liquor,
Item,D/ Cabernet,622,4,0,9,0,5598,216,0,5382,5382,5382,Wine,
Item,Mr. Pimms,2,0,0,10,0,20,0,0,20,20,20,Liquor,
Item,"CH Tin, Tuna Ratatouille",13,0,2,20,0,316.8,20,16.8,280,280,296.8,Food,
Item,Greenhook,3,0,0,13,0,39,0,0,39,39,39,Liquor,
Item,Caiparinia,176,1,0,13,0,2288,91,0,2197,2197,2197,Liquor,
Item,CH Cheese Fries,103,0,8,11.3,0,1314,239,60,1015,1015,1075,Food,
Item,Cosmopolitan,125,0,0,11,0,1375,44,0,1331,1331,1331,Liquor,
Item,Milagro Silver,260,0,0,9.34,0,2428,18,0,2410,2410,2410,Liquor,
Item,Knob Creek HSC SB Rye,35,0,0,18.49,0,647,32,0,615,615,615,Liquor,
Item,Copa Cabana Sour,172,0,0,15,0,2580,60,0,2520,2520,2520,Liquor,
Item,limencello,5,0,0,8.4,0,42,0,0,42,42,42,Liquor,
Item,B/A Chet Baker,411,4,0,12.66,0,5203,138,0,5065,5065,5065,Liquor,
Item,B/A Vieux Carr̩,98,0,0,14.98,0,1468,73,0,1395,1395,1395,Liquor,
Item,Moondance,4,0,0,13,0,52,0,0,52,52,52,Liquor,
Item,Kapali,20,0,0,6,0,120,0,0,120,120,120,Liquor,
Item,Mocktail Special,36,1,0,10,0,360,30,0,330,330,330,Liquor,
Item,Chupacabra,2,0,0,13,0,26,13,0,13,13,13,Liquor,
Item,Stateside,10,0,0,11,0,110,0,0,110,110,110,Liquor,
Item,D/ 3 Floyds IPA,253,3,0,7,0,1771,70,0,1701,1701,1701,Draft Beer,
Item,Mal Bien Isidro Rodriguez,12,1,0,16,0,192,0,0,192,192,192,Liquor,
Item,RumChata,28,3,0,8.46,0,237,47,0,190,190,190,Liquor,
Item,Laguvulin 16,9,0,0,24,0,216,0,0,216,216,216,Liquor,
Item,CH Melons Prosciutto,64,0,9,10.84,0,832.34,102,41.34,689,689,730.34,Food,
Item,Bailey's,58,0,0,8.52,0,494,0,0,494,494,494,Liquor,
Item,Krampus Tree,3,0,0,15,0,45,0,0,45,45,45,Liquor,
Item,Scorpion Jov,3,0,0,12.67,0,38,0,0,38,38,38,Liquor,
Item,CH Hummus,69,0,2,8.28,0,621.9,23,33.9,565,565,598.9,Food,
Item,Key Lime Spicy,1986,4,1,10,0,19871,275,0,19596,19596,19596,Liquor,
Item,Milk,1,0,0,3.5,0,3.71,0,0.21,3.5,3.5,3.71,Beverage,
Item,D/ Bell's 2H IPA,102,1,0,7,0,714,63,0,651,651,651,Draft Beer,
Item,W Chum T,12,0,0,22,0,264,0,0,264,264,264,Retail Nontax,
Item,Woodford Rye,47,0,0,13.51,0,635,10,0,625,625,625,Liquor,
Item,Naked & Famous,7,0,0,13,0,91,0,0,91,91,91,Liquor,
Item,Knob Creek,121,0,0,12.56,0,1520,0,0,1520,1520,1520,Liquor,
Item,Open Liquor,58,0,2,9.33,0,560,68,0,492,492,492,Liquor,
Item,D/ BOAL ESB   ,0,2,0,0,0,0,0,0,0,0,0,Draft Beer,
Item,Hot Cider Spiked,2,0,0,11,0,22,0,0,22,22,22,Liquor,
Item,Ch White Bean Hummus,135,2,10,10.09,0,1542.08,145,79.08,1318,1318,1397.08,Food,
Item,Buffalo Trace Single,47,0,0,11.45,0,538,40,0,498,498,498,Liquor,
Item,Makers Julep,70,0,0,15,0,1050,0,0,1050,1050,1050,Liquor,
Item,Bagel cr ch,8,0,0,4,0,33.92,0,1.92,32,32,33.92,Food,
Item,Marie Brizard,4,0,0,9,0,36,6,0,30,30,30,Liquor,
Item,Lelouvier Calvados,2,0,0,22.5,0,45,20,0,25,25,25,Liquor,
Item,Monkey 47,55,0,0,16.56,0,911,44,0,867,867,867,Liquor,
Item,Guinness Can,367,1,1,7.76,0,2856,23,0,2833,2833,2833,Bottle Beer,
Item,Dolin Vermouth,11,0,0,6.73,0,74,7,0,67,67,67,Liquor,
Item,Harris Gin,4,0,0,23,0,92,0,0,92,92,92,Liquor,
Item,Ocho Punta OP,3,0,0,18,0,54,18,0,36,36,36,Liquor,
Item,Pride Appletini,19,0,0,12,0,228,0,0,228,228,228,Liquor,
Item,D/ New Belgium IPA,134,0,0,7,0,938,0,0,938,938,938,Draft Beer,
Item,Botanist,116,0,0,14.79,0,1716,17,0,1699,1699,1699,Liquor,
